CODIGO;NOMBRE;TIPO;ESTADO
1;ACTIVOS;T;A
11;DISPONIBLE;T;A
1105;CAJA;T;A
110505;CAJA GENERAL;M;A
110510;CAJA MENOR;M;A
1110;BANCOS;T;A
111005;BANCO DE COLOMBIA;M;A
111010;BANCO AGRARIO;M;A
1120;CUENTAS DE AHORRO;T;A
112005;BANCO CAJA SOCIAL -AHORROS;M;A
12;INVERSIONES;T;A
1255;OBLIGATORIAS;T;A
125595;OTRAS;M;A
13;DEUDORES;T;A
1305;CLIENTES;T;A
130505;NACIONALES;M;A
1325;C X C SOCIOS Y/O ACCIONIS;T;A
132505;DEUDORES SOCIOS;M;A
132510;DEUDORES ACCIONISTAS;M;A
1330;ANTICIPOS Y AVANCES;T;A
133005;ANTICIPOS PROVEEDORES;M;A
133010;ANTICIPOS CONTRATISTAS;M;A
133015;ANTICIPOS TRABAJADORES;M;A
1355;ANTICIPOS DE IMPUESTOS;T;A
135505;ANTIC.IMP. RENTA Y COMP.;M;A
135515;RETEFUENTE;M;A
135517;IMP A LAS VENTAS RETENIDO;M;A
135518;IMP DE IND Y CCIO RETENID;M;A
135520;SOBRANTE EN LIQ.PRIV.IMP.;M;A
135595;RETEFUENTE BANCOS;M;A
1365;CXC A TRABAJADORES;T;A
136595;CXC A TRABAJADORES;M;A
1380;DEUDORES VARIOS;T;A
138095;OTROS DEUDORES;M;A
1399;PROVISIONES;T;A
139905;PROV. CUENTAS CLIENTES;M;A
14;INVENTARIOS;T;A
1405;MATERIA PRIMA;T;A
140505;INVENTARIO MATERIA PRIMA;M;A
140599;AJUSTE X INF.INV.MATEPRIM;M;A
1410;PRODUCTOS EN PROCESO;T;A
141005;INV PRODUCTOS EN PROCESO;M;A
1430;PRODUCTOS TERMINADOS;T;A
143005;PRODUCTOS MANUFACTURADOS;M;A
143099;AJUSTE X INFL.PROD.TERMIN;M;A
1460;ENVASES Y EMPAQUES;T;A
146005;INVENTARIO MAT.EMPAQUE;M;A
15;PROPIEDAD PLANTA Y EQUIPO;T;A
1520;MAQUINARIA Y EQUIPO;T;A
1524;EQUIPOS DE OFICINA;T;A
152405;MUEBLES Y ENSERES OFICINA;M;A
1528;EQUIPOS DE COMPUTACION;T;A
152805;EQUIPOS DE PROC. DE DATOS;M;A
152899;AJUS X INF. EQUIP.COMPUTO;M;A
1592;DEPRECIACION ACUMULADA;T;A
159210;DEPREC. MAQUINARIA Y EQUI;M;A
159215;DEPREC. EQUIPO DE OFICINA;M;A
159220;DEPREC. EQUIPO DE COMPUTO;M;A
159299;AJUS X INF. DEPRECIACION;M;A
17;DIFERIDOS;T;A
1710;CARGOS DIFERIDOS;T;A
171016;PROGRAMAS DE COMPUTADOR;M;A
171020;PAPELERIA IMPRESA;M;A
171099;AJU X INF CARGOS DIFERID;M;A
