ID;CODIGO;DESCRIPCION;AREA;COEFICIENTE;UBICACION;Responsable;Cedula;telefono;Direccion;correo
1;6-101;APARTAMENTO 6-101;75,55;0,019365836;TORRE 6;Jennifer López;35500227;44019852;av 12;alvaro.oycsoft@gmail.com
2;6-102;APARTAMENTO 6-102;75,55;0,019365836;TORRE 6;Angelina Jolie;14337858;99705841;av 13;alvaro.oycsoft@gmail.com
3;6-103;APARTAMENTO 6-103;75,55;0,019365836;TORRE 6;Shakirá;8164410;66882802;av 14;alvaro.oycsoft@gmail.com
4;6-104;APARTAMENTO 6-104;75,55;0,019365836;TORRE 6;JOSE ANTONIO;52215279;72318444;av 13;alvaro.oycsoft@gmail.com
5;6-105;APARTAMENTO 6-105;75,55;0,019365836;TORRE 6;Paulina Ruñio;38328237;24965078;av 15;alvaro.oycsoft@gmail.com
6;6-106;APARTAMENTO 6-106;75,55;0,019365836;TORRE 6;Thalía;6908581;41144944;av 16;alvaro.oycsoft@gmail.com
7;6-201;APARTAMENTO 6-201;75,55;0,019365836;TORRE 6;Salma Hayek;69058454;38837033;av 17;alvaro.oycsoft@gmail.com
8;6-202;APARTAMENTO 6-202;75,55;0,019365836;TORRE 6;Sofía Vergara;70315941;97352044;av 18;alvaro.oycsoft@gmail.com
9;6-203;APARTAMENTO 6-203;75,55;0,019365836;TORRE 6;Zoe Zaldaña;71497651;24534871;av 19;alvaro.oycsoft@gmail.com
10;6-204;APARTAMENTO 6-204;75,55;0,019365836;TORRE 6;Rihanna;81480126;19805460;av 20;alvaro.oycsoft@gmail.com
11;6-205;APARTAMENTO 6-205;75,55;0,019365836;TORRE 6;Penélope Cruz;74679952;34607096;av 21;alvaro.oycsoft@gmail.com
12;6-206;APARTAMENTO 6-206;75,55;0,019365836;TORRE 6;William;58173312;2197099;av 22;alvaro.oycsoft@gmail.com
13;6-301;APARTAMENTO 6-301;102,00;0,026145801;TORRE 6;Justin Bieber;75931713;80401037;av 12;alvaro.oycsoft@gmail.com
14;6-302;APARTAMENTO 6-302;102,00;0,026145801;TORRE 6;Luis Miguel;61207744;1759139;av 13;alvaro.oycsoft@gmail.com
15;6-303;APARTAMENTO 6-303;102,00;0,026145801;TORRE 6;Ricky Martin;65334195;29015036;av 14;alvaro.oycsoft@gmail.com
