Codigo;Descripcion;Area;Coeficiente;Ubicacion;Responsable;Cedula;Telefonos;Direccion Fìsica;Correo;Estado
6102;APARTAMENTO 6-102;75.55;0.045569697;TORRE 6;Juan Pablo Manotas;111;4545; diagonal 20 ;alvaro.oycsoft@gmail.com;A
6104;APARTAMENTO 6-104;75.55;0.045569697;TORRE 6;Juan Carlos Vides;75852951;310-4785211;piso 1;alvaro.oycsoft@gmail.com;A
6201;APARTAMENTO 6-201;75.55;0.045569697;TORRE 6;Juan Vicente Correa;1255;   310 4454231;Piso 3;alvaro.oycsoft@gmail.com;A
6105;APARTAMENTO 6-105;75.55;0.045569697;TORRE 6;Pedro Juan Majia;4444444;8888888;Piso2;alvaro.oycsoft@gmail.com;A
6103;APARTAMENTO 6-103;75.55;0.045569697;TORRE 6;Maria del Pilar Diaz;45688;655511;Piso 2;alvaro.oycsoft@gmail.com;A
6101;APARTAMENTO 6-101;75.55;0.045569697;TORRE 6;Vidal Mario Jaramillo;1564;87985463;Piso3;alvaro.oycsoft@gmail.com;A
6106;APARTAMENTO 6-106;75.55;0.045569697;TORRE 6;Diana Camila Roa;258955;2210505;Cr 24;alvaro.oycsoft@gmail.com;A
6202;APARTAMENTO 6-202;75.55;0.045569697;TORRE 6;Hermes Jose Rodriguez;789455;658555;piso 2;alvaro.oycsoft@gmail.com;A
6203;APARTAMENTO 6-203;75.55;0.045569697;TORRE 6;Ruth María Joya;46548;2135;Piso 2;alvaro.oycsoft@gmail.com;A
6204;APARTAMENTO 6-204;75.55;0.045569697;TORRE 6;Julia Carlota Cepeda;857462;95214;Piso 2;alvaro.oycsoft@gmail.com;A
6205;APARTAMENTO 6-205;75.55;0.045569697;TORRE 6;Juana Constanza Angarita;78946531;8942222;Piso 2;alvaro.oycsoft@gmail.com;A
6206;APARTAMENTO 6-206;75.55;0.045569697;TORRE 6;Jaime Rios;666666;454504;Piso 2;alvaro.oycsoft@gmail.com;A
6301;APARTAMENTO 6-301;120;0.072380723;TORRE 6;Pedro León Casas;4654685;8777777;Piso1;alvaro.oycsoft@gmail.com;A
6302;APARTAMENTO 6-302;120;0.072380723;TORRE 6;Luz Amanda Mariño;12524446;320-8559596;piso 1;alvaro.oycsoft@gmail.com;A
6303;APARTAMENTO 6-303;120;0.072380723;TORRE 6;Lucia Camila Pulido;555555;8888888;Piso 1;alvaro.oycsoft@gmail.com;A
6304;APARTAMENTO 6-304;120.2;0.072501357;TORRE 6;Luz Viviana Pance;7899;45222;Piso 1;alvaro.oycsoft@gmail.com;A
6305;APARTAMENTO 6-305;120;0.072380723;TORRE 6; Alvaro Alvarez;16898544;19541558;cra 3;alvaro.oycsoft@gmail.com;A
6201;APARTAMENTO 6-201;75.55;0.045569697;TORRE 6;Julia Carlota  de Ruiz;857462;95214;Piso 2;alvaro.oycsoft@gmail.com;A
6201;APARTAMENTO 6-201;75.55;0.045569697;TORRE 6;Agapito Correal Niño;857000;95214;Piso 2;alvaro.oycsoft@gmail.com;A
